TimeStep Temps_Update Temps_Display Temps_Total
560 0.000182743 0.00582218 60.0565
561 0.000172735 0.00582879 60.1658
562 0.000178656 0.00586432 60.2749
563 0.000172264 0.00582169 60.384
564 0.000185459 0.00595744 60.4932
565 0.000169228 0.00595205 60.6023
566 0.000166633 0.00593212 60.7114
567 0.00016475 0.00587184 60.8203
568 0.000164288 0.00586931 60.9293
569 0.000164008 0.00589583 61.0382
570 0.000163056 0.00588466 61.1471
571 0.000162596 0.00585725 61.2561
572 0.000161183 0.00588998 61.3648
573 0.000160832 0.00591071 61.4737
574 0.000160812 0.0058488 61.5824
575 0.000157506 0.00581453 61.6913
576 0.000154801 0.00580709 61.8001
577 0.00017591 0.00593481 61.9087
578 0.000154661 0.00587878 62.0172
579 0.000154841 0.00582987 62.1258
580 0.000161193 0.00596488 62.2345
581 0.000150613 0.00674055 62.3438
582 0.000154991 0.00642026 62.4519
583 0.000151534 0.00637858 62.5602
584 0.000153519 0.00636911 62.6686
585 0.000145763 0.00598287 62.7766
586 0.000146385 0.00591912 62.8849
587 0.000147707 0.00585438 62.9931
588 0.000146735 0.00582876 63.1014
589 0.000144982 0.00578522 63.2096
590 0.000164719 0.00584515 63.3178
591 0.000142909 0.00585601 63.4259
592 0.000138721 0.00584644 63.5341
593 0.000139993 0.00585225 63.6423
594 0.000136787 0.00578256 63.7503
595 0.000156995 0.00583241 63.8583
596 0.00013811 0.0057927 63.9663
597 0.000144011 0.00598743 64.0745
598 0.000132078 0.00581041 64.1822
599 0.000134173 0.00576923 64.29
600 0.000132108 0.0058817 64.398
601 0.000130095 0.0057812 64.5057
602 0.000138791 0.00582657 64.6135
603 0.000128031 0.0054532 64.7208
604 0.000125877 0.00549221 64.8285
605 0.000131276 0.00545899 64.936
606 0.000123903 0.00552996 65.0438
607 0.000125907 0.0054566 65.1515
608 0.000124655 0.00572286 65.2593
609 0.000123282 0.00572516 65.3668
610 0.000124404 0.00565316 65.4741
611 0.000118542 0.00552806 65.5815
612 0.000122481 0.00624601 65.6897
613 0.000119134 0.00583538 65.7966
614 0.000117581 0.00565555 65.9037
615 0.000123502 0.00565181 66.011
616 0.000125847 0.00558998 66.1185
617 0.000123171 0.00575762 66.2259
618 0.000117581 0.00578686 66.3332
619 0.000127279 0.0059344 66.4405
620 0.000118342 0.00577518 66.5477
621 0.000123793 0.00575807 66.6547
622 0.000118743 0.00624891 66.763
623 0.000121678 0.00621213 66.8699
624 0.00012254 0.00605873 66.9768
625 0.000121368 0.00573911 67.0833
626 0.000120216 0.0057538 67.1903
627 0.000112752 0.005805 67.2971
628 0.000108654 0.00574851 67.4037
629 0.000118523 0.00574842 67.5103
630 0.000110407 0.00578723 67.617
631 0.000140955 0.00639776 67.725
632 0.000279896 0.00648409 67.8317
633 0.000104286 0.00639927 67.9386
634 0.000178606 0.00644107 68.0453
635 0.000128812 0.00655208 68.1523
636 0.000469111 0.00634624 68.2589
637 0.000189527 0.00648811 68.3656
638 0.000177173 0.00642199 68.4723
639 0.000353013 0.00635205 68.5789
640 0.000103504 0.0062244 68.6856
641 0.000434466 0.00584972 68.7917
642 0.000103324 0.0059566 68.898
643 0.000104716 0.00587302 69.0042
644 0.000104156 0.00550107 69.1109
645 0.000100379 0.00594134 69.2174
646 0.000374113 0.00561232 69.3233
647 0.000118372 0.00560153 69.4292
648 0.000113944 0.00561454 69.5352
649 0.000114215 0.00611594 69.642
650 0.000564661 0.00594176 69.7481
651 0.000454615 0.00559301 69.8539
652 0.000107432 0.00563623 69.9599
653 0.000209634 0.00553366 70.0657
654 0.000109195 0.00564204 70.1717
655 0.000350989 0.00557373 70.2775
656 0.000263816 0.00555853 70.3833
657 0.000360537 0.00558605 70.4891
658 0.00039913 0.00554476 70.5949
659 0.000262323 0.0055201 70.7006
660 0.000448002 0.00627847 70.8071
661 0.00120386 0.00557525 70.913
662 0.000353695 0.00560826 71.0188
663 0.000525658 0.00554684 71.1246
664 0.000639712 0.00558585 71.2304
665 0.000322166 0.00552553 71.3362
666 0.000556616 0.00548846 71.442
667 0.000580922 0.00550697 71.5477
668 0.000616919 0.00556355 71.6535
669 0.000801616 0.00616417 71.7599
670 0.00123653 0.00605527 71.8662
671 0.00112538 0.00603847 71.9725
672 0.00135864 0.00604595 72.0788
673 0.00140328 0.00639815 72.1854
674 0.00149426 0.00693422 72.2926
675 0.00235365 0.0063925 72.3992
676 0.0019986 0.00645655 72.5059
677 0.00199194 0.00642647 72.6126
678 0.00151185 0.00612115 72.7189
679 0.00146817 0.00602622 72.8252
680 0.00169814 0.00599695 72.9314
681 0.00168182 0.00593846 73.0376
682 0.00166684 0.00538529 73.1432
683 0.00116016 0.00524009 73.2487
684 0.000925369 0.00539605 73.3543
685 0.00134711 0.00664899 73.4612
686 0.00258683 0.00540965 73.5668
687 0.0013297 0.00547218 73.6725
688 0.00142715 0.00600084 73.7788
689 0.00193675 0.00536533 73.8844
690 0.00140039 0.00628419 73.9909
691 0.00205203 0.00632565 74.0974
692 0.00233699 0.0059394 74.2036
693 0.00200799 0.00550835 74.3093
694 0.00165434 0.00548828 74.4151
695 0.00157472 0.00550808 74.5208
696 0.00173141 0.00542435 74.6265
697 0.00159244 0.00566915 74.7324
698 0.00195908 0.00572551 74.8383
699 0.0019107 0.00572766 74.9443
700 0.00201433 0.00616118 75.0507
701 0.00262491 0.00543921 75.1564
702 0.00176503 0.00543977 75.2621
703 0.00171811 0.00546101 75.3678
704 0.00179375 0.00544496 75.4735
705 0.00162781 0.00545649 75.5792
706 0.00208716 0.00546802 75.6849
707 0.00199303 0.00549423 75.7906
708 0.00216224 0.00549916 75.8963
709 0.00208296 0.00538176 76.0019
710 0.00197985 0.00550521 76.1077
711 0.00220461 0.00545053 76.2134
712 0.00229069 0.00547275 76.3191
713 0.00222468 0.00544366 76.4247
714 0.00230041 0.00545501 76.5304
715 0.00223683 0.00541587 76.6361
716 0.0023024 0.00559297 76.7419
717 0.00260261 0.0054286 76.8475
718 0.00242172 0.00548742 76.9533
719 0.00241603 0.00541315 77.0589
720 0.00250804 0.005512 77.1647
721 0.0022581 0.00545838 77.2704
722 0.00258125 0.00544806 77.3761
723 0.00249659 0.00544068 77.4818
724 0.00219738 0.00546255 77.5875
725 0.00258999 0.00590889 77.6936
726 0.0031423 0.00544248 77.7993
727 0.00269743 0.00542041 77.9049
728 0.00257954 0.00545044 78.0106
729 0.00263508 0.00551362 78.1164
730 0.00250637 0.00540976 78.222
731 0.00275969 0.00535873 78.3276
